﻿"Site name","URL","Teams","Channel sites","IBMode","Storage used (GB)","Primary admin","Hub","Template","Last activity (UTC)","Date created","Created by","Storage limit (GB)","Storage used (%)","Microsoft 365 group","Files viewed or edited","Page views","Page visits","Files","Sensitivity","External sharing"
"RM","https://firstfinancialptyltd.sharepoint.com/sites/RM","True",,"Open","0.00",,"","Team site","9/11/2023 12:00:00 AM","3/18/2020 12:53:24 AM","Ilana Donde","25600","0.00","True","0","0","0","9",,"On"
"ROAs","https://firstfinancialptyltd.sharepoint.com/sites/ROAs","False",,"Open","0.00",,"","Team site","7/25/2017 12:00:00 AM","6/3/2017 10:11:37 AM","Sera Varea","25600","0.00","True","0","0","0","3",,"On"
"Roel & Hayley","https://firstfinancialptyltd.sharepoint.com/sites/RoelHayley","True",,"Open","0.00",,"","Team site","11/3/2021 12:00:00 AM","11/10/2020 10:21:59 PM","Roel & Hayley Owners","25600","0.00","True","0","0","0","8",,"On"
"SAEL Team 6","https://firstfinancialptyltd.sharepoint.com/sites/SAELTeam6","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"12/4/2024 4:34:18 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","2",,"Off"
"Sage","https://firstfinancialptyltd.sharepoint.com/sites/Sage","True",,"Open","0.00",,"","Team site",,"11/13/2024 6:07:57 AM","Sage Owners","25600","0.00","True","0","0","0","5",,"On"
"SC Projects","https://firstfinancialptyltd.sharepoint.com/sites/SCProjects","False",,"Open","0.00",,"","Team site","5/18/2023 12:00:00 AM","2/13/2023 10:27:18 PM","SC Projects Owners","25600","0.00","True","0","0","0","5",,"On"
"Serving Advisers","https://firstfinancialptyltd.sharepoint.com/sites/ServingAdvisers","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)","12/8/2024 12:00:00 AM","12/4/2024 4:32:41 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","2",,"Off"
"Shaun's Tasks","https://firstfinancialptyltd.sharepoint.com/sites/ShaunsTasks","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)","12/11/2024 12:00:00 AM","12/4/2024 4:32:46 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","2",,"Off"
"SMSF","https://firstfinancialptyltd.sharepoint.com/sites/SMSF","True",,"Open","0.00",,"","Team site","5/6/2026 12:00:00 AM","5/4/2020 2:28:12 AM","SMSF Owners","25600","0.00","True","0","0","0","17",,"On"
"SOA Implementations","https://firstfinancialptyltd.sharepoint.com/sites/SOAImplementations","False",,"Open","0.00",,"","Team site","7/30/2024 12:00:00 AM","6/3/2017 10:36:15 AM","Sera Varea","25600","0.00","True","0","0","0","4",,"On"
"SOA Log","https://firstfinancialptyltd.sharepoint.com/sites/SOALog","False",,"Open","0.00",,"","Team site",,"4/8/2023 12:38:36 PM","SOA Log Owners","25600","0.00","True","0","0","0","2",,"On"
"SOAs","https://firstfinancialptyltd.sharepoint.com/sites/SOAs","False",,"Open","0.00",,"","Team site","7/30/2024 12:00:00 AM","6/3/2017 10:15:33 AM","Sera Varea","25600","0.00","True","0","0","0","7",,"On"
"Social Committee","https://firstfinancialptyltd.sharepoint.com/sites/SocialCommittee","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"12/4/2024 4:33:58 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","2",,"Off"
"Suntax","https://firstfinancialptyltd.sharepoint.com/sites/Suntax","True",,"Open","0.02",,"","Team site","12/9/2024 12:00:00 AM","11/13/2024 6:07:57 AM","Suntax Owners","25600","0.00","True","0","0","0","24",,"On"
"Super","https://firstfinancialptyltd.sharepoint.com/sites/Super","True",,"Open","0.00",,"","Team site","5/26/2025 12:00:00 AM","7/24/2022 11:22:44 PM","Super Owners","25600","0.00","True","0","0","0","66",,"On"
"TBT Accounting","https://firstfinancialptyltd.sharepoint.com/sites/TBTAccounting","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"12/4/2024 4:34:23 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","2",,"Off"
"Team CC BJ","https://firstfinancialptyltd.sharepoint.com/sites/TeamCCBJ","True",,"Open","0.00",,"","Team site",,"6/15/2023 5:51:58 AM","Team CC BJ Owners","25600","0.00","True","0","0","0","4",,"On"
"Team JW DJ GQ","https://firstfinancialptyltd.sharepoint.com/sites/TeamJWDJGQ","True",,"Open","0.00",,"","Team site","11/25/2024 12:00:00 AM","6/15/2023 5:52:43 AM","Team JW DJ GQ Owners","25600","0.00","True","0","0","0","10",,"On"
"Team RS","https://firstfinancialptyltd.sharepoint.com/sites/TeamRS","True",,"Open","0.00",,"","Team site","6/3/2026 12:00:00 AM","8/15/2024 2:23:12 AM","Team RS Owners","25600","0.00","True","0","0","0","8",,"On"
"Team Yellow - Big Mac Challenge","https://firstfinancialptyltd.sharepoint.com/sites/TeamYellow-BigMacChallenge","True",,"Open","0.00",,"","Team site",,"11/13/2024 6:07:56 AM","Team Yellow - Big Mac Challenge Owners","25600","0.00","True","0","0","0","2",,"On"
"Team6","https://firstfinancialptyltd.sharepoint.com/sites/Team6","False",,"Open","0.00",,"","Team site",,"5/18/2026 3:43:48 AM","Team6 Owners","25600","0.00","True","0","0","0","2",,"On"
"Termination","https://firstfinancialptyltd.sharepoint.com/sites/Termination","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"12/4/2024 4:32:37 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","2",,"Off"
"Termination Checklist","https://firstfinancialptyltd.sharepoint.com/sites/TerminationChecklist","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"12/4/2024 4:33:25 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","2",,"Off"
"Test","https://firstfinancialptyltd.sharepoint.com/sites/Test9","True",,"Open","0.00",,"","Team site","7/5/2026 12:00:00 AM","1/15/2020 10:17:57 PM","Sean Curran","25600","0.00","True","2","2","1","12",,"On"
"test","https://firstfinancialptyltd.sharepoint.com/sites/test","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"12/4/2024 4:33:36 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","2",,"Off"
"TEST","https://firstfinancialptyltd.sharepoint.com/sites/TEST979","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"12/4/2024 4:35:52 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","2",,"Off"
"test","https://firstfinancialptyltd.sharepoint.com/sites/test599","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)","7/2/2026 12:00:00 AM","12/4/2024 4:33:25 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","1","1","1","2",,"Off"
"test csg","https://firstfinancialptyltd.sharepoint.com/sites/testcsg","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"12/4/2024 4:35:49 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","2",,"Off"
"Test Plan","https://firstfinancialptyltd.sharepoint.com/sites/TestPlan","False",,"Open","0.00",,"","Team site","7/2/2026 12:00:00 AM","2/10/2021 5:48:30 AM","Test Plan Owners","25600","0.00","True","1","1","1","4",,"On"
"test tasks","https://firstfinancialptyltd.sharepoint.com/sites/testtasks","True",,"Open","0.00",,"","Team site",,"11/13/2024 6:07:57 AM","test tasks Owners","25600","0.00","True","0","0","0","4",,"On"
"test team","https://firstfinancialptyltd.sharepoint.com/sites/testteam","True",,"Open","0.00",,"","Team site",,"8/28/2024 7:13:00 AM","test team Owners","25600","0.00","True","0","0","0","4",,"On"
"test team","https://firstfinancialptyltd.sharepoint.com/sites/testteam217","True",,"Open","0.00",,"","Team site",,"8/29/2024 1:43:12 AM","test team Owners","25600","0.00","True","0","0","0","4",,"On"
